month_start,window_N,window_M,ic_score,is_optimal
2021-01-01,20,100,-0.12192095262864985,0
2021-01-01,25,100,-0.0721419208721713,0
2021-01-01,30,100,-0.04573746664951891,0
2021-01-01,35,100,0.020416338201994743,0
2021-01-01,40,100,0.09132556830353082,1
2021-01-01,45,100,-0.02216578439311475,0
2021-01-01,50,100,-0.1878074189909422,0
2021-01-01,55,100,-0.07095986246915044,0
2021-01-01,60,100,0.03634450842243221,0
2021-01-01,10,150,0.08152449248408819,0
2021-01-01,15,150,-0.08656107877559735,0
2021-01-01,20,150,-0.12052004744862656,0
2021-01-01,25,150,-0.07108301603528691,0
2021-01-01,30,150,-0.06629035358641429,0
2021-01-01,35,150,-0.04209012124189714,0
2021-01-01,40,150,0.005151345900066629,0
2021-01-01,45,150,-0.0963318430302302,0
2021-01-01,50,150,-0.2431306332083333,0
2021-01-01,55,150,-0.09927107424391997,0
2021-01-01,60,150,0.017191106273083,0
2021-01-01,10,200,0.08632822350373749,0
2021-01-01,15,200,-0.0852641696267049,0
2021-01-01,20,200,-0.12175029297260503,0
2021-01-01,25,200,-0.07955397788433773,0
2021-01-01,30,200,-0.07700813570253569,0
2021-01-01,35,200,-0.045110811303910966,0
2021-01-01,40,200,0.026614868406268487,0
2021-01-01,45,200,-0.09589196826324657,0
2021-01-01,50,200,-0.2403193747541615,0
2021-01-01,55,200,-0.09592841168912701,0
2021-01-01,60,200,0.01966837449425481,0
2021-02-01,10,100,0.15145473286776254,1
2021-02-01,15,100,0.11795249825323777,0
2021-02-01,20,100,-0.03459129606248215,0
2021-02-01,25,100,-0.09856266976635027,0
2021-02-01,30,100,-0.11397217682221031,0
2021-02-01,35,100,-0.051313660585755386,0
2021-02-01,40,100,-0.037272878198003366,0
2021-02-01,45,100,-0.05976279949203378,0
2021-02-01,50,100,-0.12154850058365414,0
2021-02-01,55,100,-0.142391955009888,0
2021-02-01,60,100,-0.1544440025363293,0
2021-02-01,10,150,0.1304216396169991,0
2021-02-01,15,150,0.08157203882967289,0
2021-02-01,20,150,-0.056497756963853424,0
2021-02-01,25,150,-0.12020895229562237,0
2021-02-01,30,150,-0.13815169376559425,0
2021-02-01,35,150,-0.07310960491460776,0
2021-02-01,40,150,-0.05059985559300002,0
2021-02-01,45,150,-0.07161490480650712,0
2021-02-01,50,150,-0.143549014024812,0
2021-02-01,55,150,-0.17314253754954959,0
2021-02-01,60,150,-0.19102146770953907,0
2021-02-01,10,200,0.12525568556286037,0
2021-02-01,15,200,0.08233356200102952,0
2021-02-01,20,200,-0.06179424038391765,0
2021-02-01,25,200,-0.12708568308008975,0
2021-02-01,30,200,-0.1437143662313804,0
2021-02-01,35,200,-0.076082524650744,0
2021-02-01,40,200,-0.052654514327196256,0
2021-02-01,45,200,-0.07307200091090504,0
2021-02-01,50,200,-0.1433645921464306,0
2021-02-01,55,200,-0.1708441236085626,0
2021-02-01,60,200,-0.1859908941742258,0
2021-03-01,10,100,-0.1324350266743242,0
2021-03-01,15,100,-0.06514778267265472,0
2021-03-01,20,100,-0.22411410337716708,0
2021-03-01,25,100,-0.24781081810968794,0
2021-03-01,30,100,-0.05597852783948765,0
2021-03-01,35,100,-0.0036458298398559974,1
2021-03-01,40,100,-0.016316684506242806,0
2021-03-01,45,100,-0.06275288502950288,0
2021-03-01,50,100,-0.10820421782441814,0
2021-03-01,55,100,-0.10868240848885767,0
2021-03-01,60,100,-0.11458566326929427,0
2021-03-01,10,150,-0.1590300713735412,0
2021-03-01,15,150,-0.09059927833748406,0
2021-03-01,20,150,-0.23662235934361123,0
2021-03-01,25,150,-0.2657687366703667,0
2021-03-01,30,150,-0.10356957899980422,0
2021-03-01,35,150,-0.04107531647392552,0
2021-03-01,40,150,-0.029447737960314982,0
2021-03-01,45,150,-0.08366391450416379,0
2021-03-01,50,150,-0.1502543855977283,0
2021-03-01,55,150,-0.15971870363653995,0
2021-03-01,60,150,-0.16345387187606558,0
2021-03-01,10,200,-0.13065339857147845,0
2021-03-01,15,200,-0.079092778862132,0
2021-03-01,20,200,-0.22912819445412705,0
2021-03-01,25,200,-0.25617991890064334,0
2021-03-01,30,200,-0.09275422247692154,0
